Area,Bedrooms,Bathrooms,Stories,Age,Price
2100,3,2,2,5,505000
1600,2,1,1,15,310000
2400,4,3,2,8,555000
3000,4,3,2,5,655000
1400,2,1,1,20,260000
2200,3,2,2,10,485000
1800,3,2,1,12,395000
2600,4,3,2,7,605000
2000,3,2,1,10,452000
1500,2,1,1,18,285000
1700,3,1,1,14,345000
2800,4,3,2,6,625000
1900,3,2,1,11,415000
2300,3,2,2,9,505000
2100,3,2,1,8,472000
2500,4,3,2,7,592000
1600,2,1,1,16,315000
2000,3,2,2,10,458000
2700,4,3,2,5,632000
1500,2,1,1,17,275000
3000,4,3,2,4,672000
1800,3,2,1,13,385000
2200,3,2,2,8,492000
2600,4,3,2,6,615000
2000,3,2,1,9,459000
1400,2,1,1,21,245000
1700,3,1,1,15,338000
2800,4,3,2,5,642000
1900,3,2,1,12,412000
2300,3,2,2,8,510000
2100,3,2,1,7,485000
2500,4,3,2,6,602000
1600,2,1,1,14,325000
2000,3,2,2,9,465000
2700,4,3,2,4,655000
1500,2,1,1,18,262000
3000,4,3,2,3,692000
1800,3,2,1,11,398000
2200,3,2,2,7,498000
2600,4,3,2,5,618000
2000,3,2,1,8,461000
1400,2,1,1,20,250000
1700,3,1,1,14,346000
2800,4,3,2,4,658000
1900,3,2,1,10,422000
2300,3,2,2,7,518000
2100,3,2,1,6,492000
2500,4,3,2,5,608000
1600,2,1,1,13,323000
2000,3,2,2,8,468000
2700,4,3,2,3,662000
1500,2,1,1,17,268000
3000,4,3,2,2,705000
1800,3,2,1,12,402000
2200,3,2,2,6,505000
2600,4,3,2,4,622000
2000,3,2,1,7,470000
1400,2,1,1,19,258000
1700,3,1,1,13,349000
2800,4,3,2,3,668000
1900,3,2,1,11,427000
2300,3,2,2,6,522000
2100,3,2,1,5,498000
2500,4,3,2,4,615000
1600,2,1,1,12,330000
2000,3,2,2,7,473000
2700,4,3,2,3,670000
1500,2,1,1,16,280000
3000,4,3,2,2,712000
1800,3,2,1,10,410000
2200,3,2,2,6,508000
2600,4,3,2,4,626000
2000,3,2,1,6,474000
1400,2,1,1,18,266000
1700,3,1,1,12,352000
2800,4,3,2,3,678000
1900,3,2,1,9,435000
2300,3,2,2,5,528000
2100,3,2,1,4,503000
2500,4,3,2,3,622000
1600,2,1,1,11,335000
2000,3,2,2,6,478000
2700,4,3,2,2,675000
1500,2,1,1,15,290000
3000,4,3,2,2,720000
1800,3,2,1,9,418000
2200,3,2,2,5,512000
2600,4,3,2,3,630000
2000,3,2,1,5,479000
1400,2,1,1,17,272000
1700,3,1,1,11,357000
2800,4,3,2,2,686000
1900,3,2,1,8,442000
2300,3,2,2,4,535000
2100,3,2,1,3,508000
2500,4,3,2,2,628000
1600,2,1,1,10,340000
2000,3,2,2,5,483000
2700,4,3,2,2,680000
1500,2,1,1,14,295000
3000,4,3,2,1,735000
1800,3,2,1,8,426000
2200,3,2,2,4,518000
2600,4,3,2,2,635000
2000,3,2,1,4,486000
1400,2,1,1,16,279000
1700,3,1,1,10,362000
2800,4,3,2,2,694000
1900,3,2,1,7,448000
2300,3,2,2,3,542000
2100,3,2,1,2,518000
2500,4,3,2,2,635000
1600,2,1,1,9,345000
2000,3,2,2,4,488000
2700,4,3,2,1,690000
1500,2,1,1,13,305000
3000,4,3,2,1,750000
1800,3,2,1,7,432000
2200,3,2,2,3,525000
2600,4,3,2,2,640000
2000,3,2,1,3,490000
1400,2,1,1,15,288000
1700,3,1,1,9,368000
2800,4,3,2,1,702000
1900,3,2,1,6,455000
2300,3,2,2,2,548000
2100,3,2,1,2,525000
2500,4,3,2,1,640000
1600,2,1,1,8,350000
2000,3,2,2,3,492000
2700,4,3,2,1,695000
1500,2,1,1,12,315000
3000,4,3,2,1,760000
1800,3,2,1,6,440000
2200,3,2,2,2,532000
2600,4,3,2,1,645000
2000,3,2,1,2,495000
1400,2,1,1,14,297000
1700,3,1,1,8,373000
2800,4,3,2,1,710000
1900,3,2,1,5,462000
2300,3,2,2,2,552000
2100,3,2,1,1,532000
